date,open,close
2022-09-14,1018.074,1031.304
2022-09-15,1035.764,1000.081
2022-09-16,997.358,998.518
2022-09-19,997.526,975.548
2022-09-20,982.368,985.151
2022-09-21,980.621,970.393
2022-09-22,964.959,975.869
2022-09-23,975.578,960.94
2022-09-26,955.041,961.829
2022-09-27,963.488,976.445
2022-09-28,973.475,956.188
2022-09-29,962.448,961.475
2022-09-30,956.405,939.376
2022-10-10,933.021,897.335
2022-10-11,898.367,892.739
2022-10-12,890.286,924.914
2022-10-13,917.397,926.52
2022-10-14,936.422,954.924
2022-10-17,948.642,963.224
2022-10-18,964.97,960.0
2022-10-19,957.733,949.498
2022-10-20,944.161,963.952
2022-10-21,961.484,967.98
2022-10-24,967.565,969.493
2022-10-25,962.973,971.334
2022-10-26,972.452,1003.255
2022-10-27,1008.706,1004.909
2022-10-28,996.612,993.721
2022-10-31,991.887,1010.327
2022-11-01,1011.964,1024.522
2022-11-02,1020.074,1037.179
2022-11-03,1028.433,1048.07
2022-11-04,1048.891,1072.87
2022-11-07,1070.145,1061.351
2022-11-08,1061.712,1051.709
2022-11-09,1049.721,1037.527
2022-11-10,1033.129,1023.064
2022-11-11,1053.859,1023.265
2022-11-14,1021.409,1022.913
2022-11-15,1022.041,1052.045
2022-11-16,1052.414,1036.492
2022-11-17,1029.315,1041.673
2022-11-18,1039.855,1031.992
2022-11-21,1023.901,1032.472
2022-11-22,1029.503,1017.822
2022-11-23,1014.738,1017.016
2022-11-24,1019.177,1015.355
2022-11-25,1012.797,999.988
2022-11-28,983.594,992.812
2022-11-29,995.34,1002.447
2022-11-30,999.613,1000.263
2022-12-01,1008.707,1009.332
2022-12-02,1005.632,1008.145
2022-12-05,1011.281,1003.6
2022-12-06,1003.306,1003.136
2022-12-07,999.278,1000.475
2022-12-08,999.748,997.315
2022-12-09,998.739,1001.686
2022-12-12,1000.289,1004.622
2022-12-13,1002.54,989.307
2022-12-14,1003.566,984.219
2022-12-15,985.152,989.198
2022-12-16,984.252,978.361
2022-12-19,973.598,956.186
2022-12-20,955.078,952.767
2022-12-21,950.561,940.835
2022-12-22,944.573,930.805
2022-12-23,925.141,920.351
2022-12-26,920.735,951.11
2022-12-27,951.856,963.136
2022-12-28,960.388,957.274
2022-12-29,956.098,962.253
2022-12-30,963.294,959.905
2023-01-03,960.509,979.913
2023-01-04,982.026,972.378
2023-01-05,972.606,983.52
2023-01-06,985.994,991.095
2023-01-09,994.74,988.669
2023-01-10,989.849,990.315
2023-01-11,990.145,973.962
2023-01-12,978.361,974.194
2023-01-13,976.58,974.312
2023-01-16,972.703,992.613
2023-01-17,994.642,1003.677
2023-01-18,1006.688,1006.746
2023-01-19,1004.786,1023.651
2023-01-20,1025.004,1029.135
2023-01-30,1046.437,1031.61
2023-01-31,1027.819,1014.358
2023-02-01,1016.311,1026.398
2023-02-02,1030.335,1031.68
2023-02-03,1029.118,1033.87
2023-02-06,1031.918,1024.426
2023-02-07,1024.237,1020.166
2023-02-08,1021.161,1010.694
2023-02-09,1007.839,1036.861
2023-02-10,1034.218,1024.538
2023-02-13,1020.55,1024.036
2023-02-14,1026.45,1022.669
2023-02-15,1022.794,1024.217
2023-02-16,1024.121,1005.18
2023-02-17,1002.082,986.335
2023-02-20,985.113,998.832
2023-02-21,997.554,995.725
2023-02-22,988.789,989.653
2023-02-23,988.196,992.462
2023-02-24,996.028,990.632
2023-02-27,988.108,986.282
2023-02-28,991.44,990.467
2023-03-01,989.108,994.634
2023-03-02,994.544,988.894
2023-03-03,996.1,998.901
2023-03-06,999.724,1007.635
2023-03-07,1005.619,990.575
2023-03-08,989.707,994.886
2023-03-09,996.563,998.303
2023-03-10,990.9,993.552
2023-03-13,992.942,998.907
2023-03-14,997.77,1013.391
2023-03-15,1016.178,1007.304
2023-03-16,1001.517,992.435
2023-03-17,1002.366,1015.758
2023-03-20,1016.229,1025.321
2023-03-21,1024.533,1030.186
2023-03-22,1031.614,1034.049
2023-03-23,1030.466,1058.988
2023-03-24,1058.119,1060.987
2023-03-27,1057.172,1057.487
